perm,run,tag,regime_id,cycle,phase,null_beta1_birth_area,n_edges,n_nodes
4,R1_low_expansion_low_friction,a050_mu010_g002,R1,2,cold,0.4114809357337803,25857,7271
5,R1_low_expansion_low_friction,a050_mu010_g002,R1,2,cold,0.41490230487910484,25857,7271
6,R1_low_expansion_low_friction,a050_mu010_g002,R1,2,cold,0.4127221789566645,25857,7271
7,R1_low_expansion_low_friction,a050_mu010_g002,R1,2,cold,0.4119168369001647,25857,7271
8,R1_low_expansion_low_friction,a050_mu010_g002,R1,2,cold,0.41092690786214703,25857,7271
9,R1_low_expansion_low_friction,a050_mu010_g002,R1,2,cold,0.41127291809477207,25857,7271
10,R1_low_expansion_low_friction,a050_mu010_g002,R1,2,cold,0.4133969123066916,25857,7271
11,R1_low_expansion_low_friction,a050_mu010_g002,R1,2,cold,0.4129379360085884,25857,7271
12,R1_low_expansion_low_friction,a050_mu010_g002,R1,2,cold,0.41105543756433116,25857,7271
13,R1_low_expansion_low_friction,a050_mu010_g002,R1,2,cold,0.41223308682330656,25857,7271
14,R1_low_expansion_low_friction,a050_mu010_g002,R1,2,cold,0.4141287277051898,25857,7271
15,R1_low_expansion_low_friction,a050_mu010_g002,R1,2,cold,0.41165784371330444,25857,7271
16,R1_low_expansion_low_friction,a050_mu010_g002,R1,2,cold,0.4097060252722883,25857,7271
17,R1_low_expansion_low_friction,a050_mu010_g002,R1,2,cold,0.41067759598837383,25857,7271
18,R1_low_expansion_low_friction,a050_mu010_g002,R1,2,cold,0.41179523057301026,25857,7271
19,R1_low_expansion_low_friction,a050_mu010_g002,R1,2,cold,0.4102117906692788,25857,7271
20,R1_low_expansion_low_friction,a050_mu010_g002,R1,2,cold,0.41045056017999115,25857,7271
21,R1_low_expansion_low_friction,a050_mu010_g002,R1,2,cold,0.4108834505015033,25857,7271
22,R1_low_expansion_low_friction,a050_mu010_g002,R1,2,cold,0.4104165266012778,25857,7271
23,R1_low_expansion_low_friction,a050_mu010_g002,R1,2,cold,0.41022885419646093,25857,7271
24,R1_low_expansion_low_friction,a050_mu010_g002,R1,2,cold,0.41079731187207524,25857,7271
0,R1_low_expansion_low_friction,a050_mu010_g002,R1,2,hot,0.35994174840892,22329,7746
1,R1_low_expansion_low_friction,a050_mu010_g002,R1,2,hot,0.35651617443801825,22329,7746
2,R1_low_expansion_low_friction,a050_mu010_g002,R1,2,hot,0.358128355360544,22329,7746
3,R1_low_expansion_low_friction,a050_mu010_g002,R1,2,hot,0.35837803552633263,22329,7746
4,R1_low_expansion_low_friction,a050_mu010_g002,R1,2,hot,0.3586634857880563,22329,7746
5,R1_low_expansion_low_friction,a050_mu010_g002,R1,2,hot,0.3578024985289986,22329,7746
6,R1_low_expansion_low_friction,a050_mu010_g002,R1,2,hot,0.35673667359799277,22329,7746
7,R1_low_expansion_low_friction,a050_mu010_g002,R1,2,hot,0.3605829778618405,22329,7746
8,R1_low_expansion_low_friction,a050_mu010_g002,R1,2,hot,0.3589979851112911,22329,7746
9,R1_low_expansion_low_friction,a050_mu010_g002,R1,2,hot,0.36039732745948266,22329,7746
10,R1_low_expansion_low_friction,a050_mu010_g002,R1,2,hot,0.358889272380744,22329,7746
11,R1_low_expansion_low_friction,a050_mu010_g002,R1,2,hot,0.3580733681677384,22329,7746
12,R1_low_expansion_low_friction,a050_mu010_g002,R1,2,hot,0.35630001143752843,22329,7746
13,R1_low_expansion_low_friction,a050_mu010_g002,R1,2,hot,0.35716311175271487,22329,7746
14,R1_low_expansion_low_friction,a050_mu010_g002,R1,2,hot,0.3599662128285301,22329,7746
15,R1_low_expansion_low_friction,a050_mu010_g002,R1,2,hot,0.35841012042160947,22329,7746
16,R1_low_expansion_low_friction,a050_mu010_g002,R1,2,hot,0.3594045552103162,22329,7746
17,R1_low_expansion_low_friction,a050_mu010_g002,R1,2,hot,0.36059685724096063,22329,7746
18,R1_low_expansion_low_friction,a050_mu010_g002,R1,2,hot,0.3611609682320489,22329,7746
19,R1_low_expansion_low_friction,a050_mu010_g002,R1,2,hot,0.35824802327560684,22329,7746
20,R1_low_expansion_low_friction,a050_mu010_g002,R1,2,hot,0.35722583975110805,22329,7746
21,R1_low_expansion_low_friction,a050_mu010_g002,R1,2,hot,0.35781251272297937,22329,7746
22,R1_low_expansion_low_friction,a050_mu010_g002,R1,2,hot,0.35950488580621764,22329,7746
23,R1_low_expansion_low_friction,a050_mu010_g002,R1,2,hot,0.3587582185694088,22329,7746
24,R1_low_expansion_low_friction,a050_mu010_g002,R1,2,hot,0.3604107061895926,22329,7746
0,R1_low_expansion_low_friction,a050_mu010_g002,R1,3,cold,0.40117148151903126,21770,6469
1,R1_low_expansion_low_friction,a050_mu010_g002,R1,3,cold,0.4002672663495521,21770,6469
2,R1_low_expansion_low_friction,a050_mu010_g002,R1,3,cold,0.4015085186014739,21770,6469
3,R1_low_expansion_low_friction,a050_mu010_g002,R1,3,cold,0.40174661658711863,21770,6469
4,R1_low_expansion_low_friction,a050_mu010_g002,R1,3,cold,0.40180449869221857,21770,6469
5,R1_low_expansion_low_friction,a050_mu010_g002,R1,3,cold,0.4018339896126449,21770,6469
6,R1_low_expansion_low_friction,a050_mu010_g002,R1,3,cold,0.40095678493579073,21770,6469
7,R1_low_expansion_low_friction,a050_mu010_g002,R1,3,cold,0.4009453119329248,21770,6469
8,R1_low_expansion_low_friction,a050_mu010_g002,R1,3,cold,0.39988000876212915,21770,6469
9,R1_low_expansion_low_friction,a050_mu010_g002,R1,3,cold,0.3990507870206855,21770,6469
10,R1_low_expansion_low_friction,a050_mu010_g002,R1,3,cold,0.4001624358485381,21770,6469
11,R1_low_expansion_low_friction,a050_mu010_g002,R1,3,cold,0.4024487780809099,21770,6469
12,R1_low_expansion_low_friction,a050_mu010_g002,R1,3,cold,0.4013542599733061,21770,6469
13,R1_low_expansion_low_friction,a050_mu010_g002,R1,3,cold,0.40038991420668,21770,6469
14,R1_low_expansion_low_friction,a050_mu010_g002,R1,3,cold,0.4028382418635952,21770,6469
15,R1_low_expansion_low_friction,a050_mu010_g002,R1,3,cold,0.40008328486520384,21770,6469
16,R1_low_expansion_low_friction,a050_mu010_g002,R1,3,cold,0.4030449060436133,21770,6469
17,R1_low_expansion_low_friction,a050_mu010_g002,R1,3,cold,0.40115446676665967,21770,6469
18,R1_low_expansion_low_friction,a050_mu010_g002,R1,3,cold,0.40110271647636647,21770,6469
19,R1_low_expansion_low_friction,a050_mu010_g002,R1,3,cold,0.40030825142123677,21770,6469
20,R1_low_expansion_low_friction,a050_mu010_g002,R1,3,cold,0.4006920049638392,21770,6469
21,R1_low_expansion_low_friction,a050_mu010_g002,R1,3,cold,0.4021594902470444,21770,6469
22,R1_low_expansion_low_friction,a050_mu010_g002,R1,3,cold,0.4012211102076317,21770,6469
23,R1_low_expansion_low_friction,a050_mu010_g002,R1,3,cold,0.40094660978248314,21770,6469
24,R1_low_expansion_low_friction,a050_mu010_g002,R1,3,cold,0.39990729348729315,21770,6469
0,R1_low_expansion_low_friction,a050_mu010_g002,R1,3,hot,0.35766419902281227,22529,7824
1,R1_low_expansion_low_friction,a050_mu010_g002,R1,3,hot,0.35823032734864685,22529,7824
2,R1_low_expansion_low_friction,a050_mu010_g002,R1,3,hot,0.3601285841973172,22529,7824
3,R1_low_expansion_low_friction,a050_mu010_g002,R1,3,hot,0.35792728409233177,22529,7824
4,R1_low_expansion_low_friction,a050_mu010_g002,R1,3,hot,0.3584312415415948,22529,7824
5,R1_low_expansion_low_friction,a050_mu010_g002,R1,3,hot,0.3588529409165597,22529,7824
6,R1_low_expansion_low_friction,a050_mu010_g002,R1,3,hot,0.3572224811534317,22529,7824
7,R1_low_expansion_low_friction,a050_mu010_g002,R1,3,hot,0.3587537527767469,22529,7824
8,R1_low_expansion_low_friction,a050_mu010_g002,R1,3,hot,0.359364197593503,22529,7824
9,R1_low_expansion_low_friction,a050_mu010_g002,R1,3,hot,0.35881288393985855,22529,7824
10,R1_low_expansion_low_friction,a050_mu010_g002,R1,3,hot,0.3572336362137607,22529,7824
11,R1_low_expansion_low_friction,a050_mu010_g002,R1,3,hot,0.3576175608190537,22529,7824
12,R1_low_expansion_low_friction,a050_mu010_g002,R1,3,hot,0.35888155724145177,22529,7824
13,R1_low_expansion_low_friction,a050_mu010_g002,R1,3,hot,0.35895574936383357,22529,7824
14,R1_low_expansion_low_friction,a050_mu010_g002,R1,3,hot,0.3586307590213528,22529,7824
15,R1_low_expansion_low_friction,a050_mu010_g002,R1,3,hot,0.35859188254918406,22529,7824
16,R1_low_expansion_low_friction,a050_mu010_g002,R1,3,hot,0.35848517897303356,22529,7824
17,R1_low_expansion_low_friction,a050_mu010_g002,R1,3,hot,0.35947201297087517,22529,7824
18,R1_low_expansion_low_friction,a050_mu010_g002,R1,3,hot,0.35925203458545163,22529,7824
19,R1_low_expansion_low_friction,a050_mu010_g002,R1,3,hot,0.3602130657692686,22529,7824
20,R1_low_expansion_low_friction,a050_mu010_g002,R1,3,hot,0.36028286086601846,22529,7824
21,R1_low_expansion_low_friction,a050_mu010_g002,R1,3,hot,0.35769872718479,22529,7824
22,R1_low_expansion_low_friction,a050_mu010_g002,R1,3,hot,0.3615987873260694,22529,7824
23,R1_low_expansion_low_friction,a050_mu010_g002,R1,3,hot,0.3607267034431467,22529,7824
24,R1_low_expansion_low_friction,a050_mu010_g002,R1,3,hot,0.35793077621097646,22529,7824
0,R1_low_expansion_low_friction,a050_mu010_g002,R1,4,cold,0.41128866782591345,22331,6411
1,R1_low_expansion_low_friction,a050_mu010_g002,R1,4,cold,0.40633795971891573,22331,6411
2,R1_low_expansion_low_friction,a050_mu010_g002,R1,4,cold,0.4072548894617827,22331,6411
3,R1_low_expansion_low_friction,a050_mu010_g002,R1,4,cold,0.4081286031037413,22331,6411
4,R1_low_expansion_low_friction,a050_mu010_g002,R1,4,cold,0.4077232961125212,22331,6411
5,R1_low_expansion_low_friction,a050_mu010_g002,R1,4,cold,0.40677678928057137,22331,6411
6,R1_low_expansion_low_friction,a050_mu010_g002,R1,4,cold,0.407948730560538,22331,6411
7,R1_low_expansion_low_friction,a050_mu010_g002,R1,4,cold,0.40884053571751455,22331,6411
8,R1_low_expansion_low_friction,a050_mu010_g002,R1,4,cold,0.4083033085075346,22331,6411
9,R1_low_expansion_low_friction,a050_mu010_g002,R1,4,cold,0.40947634660168225,22331,6411
10,R1_low_expansion_low_friction,a050_mu010_g002,R1,4,cold,0.40770247650126784,22331,6411
11,R1_low_expansion_low_friction,a050_mu010_g002,R1,4,cold,0.40742592153821855,22331,6411
12,R1_low_expansion_low_friction,a050_mu010_g002,R1,4,cold,0.40892586511988394,22331,6411
13,R1_low_expansion_low_friction,a050_mu010_g002,R1,4,cold,0.40706782755532717,22331,6411
14,R1_low_expansion_low_friction,a050_mu010_g002,R1,4,cold,0.4086472423232161,22331,6411
15,R1_low_expansion_low_friction,a050_mu010_g002,R1,4,cold,0.4061443853845759,22331,6411
16,R1_low_expansion_low_friction,a050_mu010_g002,R1,4,cold,0.4072453624903931,22331,6411
17,R1_low_expansion_low_friction,a050_mu010_g002,R1,4,cold,0.4069312291495304,22331,6411
18,R1_low_expansion_low_friction,a050_mu010_g002,R1,4,cold,0.4062795380487314,22331,6411
19,R1_low_expansion_low_friction,a050_mu010_g002,R1,4,cold,0.4068079926809881,22331,6411
20,R1_low_expansion_low_friction,a050_mu010_g002,R1,4,cold,0.4088672936321833,22331,6411
21,R1_low_expansion_low_friction,a050_mu010_g002,R1,4,cold,0.40551158365565765,22331,6411
22,R1_low_expansion_low_friction,a050_mu010_g002,R1,4,cold,0.4072839395212087,22331,6411
23,R1_low_expansion_low_friction,a050_mu010_g002,R1,4,cold,0.4071737544418218,22331,6411
24,R1_low_expansion_low_friction,a050_mu010_g002,R1,4,cold,0.4073668589499252,22331,6411
0,R1_low_expansion_low_friction,a050_mu010_g002,R1,4,hot,0.35097627131286313,21001,7575
1,R1_low_expansion_low_friction,a050_mu010_g002,R1,4,hot,0.3489344931256425,21001,7575
2,R1_low_expansion_low_friction,a050_mu010_g002,R1,4,hot,0.35176573277177153,21001,7575
3,R1_low_expansion_low_friction,a050_mu010_g002,R1,4,hot,0.3509234956847873,21001,7575
4,R1_low_expansion_low_friction,a050_mu010_g002,R1,4,hot,0.35021856761759085,21001,7575
5,R1_low_expansion_low_friction,a050_mu010_g002,R1,4,hot,0.35188138759672627,21001,7575
6,R1_low_expansion_low_friction,a050_mu010_g002,R1,4,hot,0.3501428815589855,21001,7575
7,R1_low_expansion_low_friction,a050_mu010_g002,R1,4,hot,0.35190835096454814,21001,7575
8,R1_low_expansion_low_friction,a050_mu010_g002,R1,4,hot,0.3510742184029409,21001,7575
9,R1_low_expansion_low_friction,a050_mu010_g002,R1,4,hot,0.3519359105329445,21001,7575
10,R1_low_expansion_low_friction,a050_mu010_g002,R1,4,hot,0.3509564853269065,21001,7575
11,R1_low_expansion_low_friction,a050_mu010_g002,R1,4,hot,0.3517376221059602,21001,7575
12,R1_low_expansion_low_friction,a050_mu010_g002,R1,4,hot,0.3520570310450049,21001,7575
13,R1_low_expansion_low_friction,a050_mu010_g002,R1,4,hot,0.35108751966920315,21001,7575
14,R1_low_expansion_low_friction,a050_mu010_g002,R1,4,hot,0.3498298643722694,21001,7575
15,R1_low_expansion_low_friction,a050_mu010_g002,R1,4,hot,0.35181138704116144,21001,7575
16,R1_low_expansion_low_friction,a050_mu010_g002,R1,4,hot,0.35218860452850004,21001,7575
17,R1_low_expansion_low_friction,a050_mu010_g002,R1,4,hot,0.34925784719746145,21001,7575
18,R1_low_expansion_low_friction,a050_mu010_g002,R1,4,hot,0.35054532034055164,21001,7575
19,R1_low_expansion_low_friction,a050_mu010_g002,R1,4,hot,0.3503473003924154,21001,7575
20,R1_low_expansion_low_friction,a050_mu010_g002,R1,4,hot,0.3522089484403761,21001,7575
21,R1_low_expansion_low_friction,a050_mu010_g002,R1,4,hot,0.3534420217456453,21001,7575
22,R1_low_expansion_low_friction,a050_mu010_g002,R1,4,hot,0.3531724351210644,21001,7575
23,R1_low_expansion_low_friction,a050_mu010_g002,R1,4,hot,0.351338721248621,21001,7575
24,R1_low_expansion_low_friction,a050_mu010_g002,R1,4,hot,0.35145114694158136,21001,7575
0,R1_low_expansion_low_friction,a050_mu010_g002,R1,5,cold,0.40885088703818384,21823,6346
1,R1_low_expansion_low_friction,a050_mu010_g002,R1,5,cold,0.4040077085304201,21823,6346
2,R1_low_expansion_low_friction,a050_mu010_g002,R1,5,cold,0.40433773616755087,21823,6346
3,R1_low_expansion_low_friction,a050_mu010_g002,R1,5,cold,0.40658051034511,21823,6346
4,R1_low_expansion_low_friction,a050_mu010_g002,R1,5,cold,0.4054052275833804,21823,6346
5,R1_low_expansion_low_friction,a050_mu010_g002,R1,5,cold,0.40425631374539905,21823,6346
6,R1_low_expansion_low_friction,a050_mu010_g002,R1,5,cold,0.4054487777898276,21823,6346
7,R1_low_expansion_low_friction,a050_mu010_g002,R1,5,cold,0.40649342132245925,21823,6346
8,R1_low_expansion_low_friction,a050_mu010_g002,R1,5,cold,0.4054656122577729,21823,6346
9,R1_low_expansion_low_friction,a050_mu010_g002,R1,5,cold,0.4060445508355705,21823,6346
10,R1_low_expansion_low_friction,a050_mu010_g002,R1,5,cold,0.4059139722914765,21823,6346
11,R1_low_expansion_low_friction,a050_mu010_g002,R1,5,cold,0.4054947108471755,21823,6346
12,R1_low_expansion_low_friction,a050_mu010_g002,R1,5,cold,0.4071785793227529,21823,6346
13,R1_low_expansion_low_friction,a050_mu010_g002,R1,5,cold,0.40700552598066353,21823,6346
14,R1_low_expansion_low_friction,a050_mu010_g002,R1,5,cold,0.4036265649536298,21823,6346
15,R1_low_expansion_low_friction,a050_mu010_g002,R1,5,cold,0.4064148330298327,21823,6346
16,R1_low_expansion_low_friction,a050_mu010_g002,R1,5,cold,0.4051534448489812,21823,6346
17,R1_low_expansion_low_friction,a050_mu010_g002,R1,5,cold,0.4052541059205842,21823,6346
18,R1_low_expansion_low_friction,a050_mu010_g002,R1,5,cold,0.40397905829749514,21823,6346
19,R1_low_expansion_low_friction,a050_mu010_g002,R1,5,cold,0.40720829726065727,21823,6346
20,R1_low_expansion_low_friction,a050_mu010_g002,R1,5,cold,0.40527142779016345,21823,6346
21,R1_low_expansion_low_friction,a050_mu010_g002,R1,5,cold,0.40519686478661554,21823,6346
22,R1_low_expansion_low_friction,a050_mu010_g002,R1,5,cold,0.40523129207094455,21823,6346
23,R1_low_expansion_low_friction,a050_mu010_g002,R1,5,cold,0.40705842803827985,21823,6346
24,R1_low_expansion_low_friction,a050_mu010_g002,R1,5,cold,0.40639815896335063,21823,6346
0,R1_low_expansion_low_friction,a050_mu010_g002,R1,5,hot,0.36106916459472516,22304,7693
1,R1_low_expansion_low_friction,a050_mu010_g002,R1,5,hot,0.36197486482511637,22304,7693
2,R1_low_expansion_low_friction,a050_mu010_g002,R1,5,hot,0.361727584471342,22304,7693
3,R1_low_expansion_low_friction,a050_mu010_g002,R1,5,hot,0.361521936869885,22304,7693
4,R1_low_expansion_low_friction,a050_mu010_g002,R1,5,hot,0.3640153289790726,22304,7693
5,R1_low_expansion_low_friction,a050_mu010_g002,R1,5,hot,0.3605728830101432,22304,7693
6,R1_low_expansion_low_friction,a050_mu010_g002,R1,5,hot,0.3591659723907096,22304,7693
7,R1_low_expansion_low_friction,a050_mu010_g002,R1,5,hot,0.36142204157296975,22304,7693
8,R1_low_expansion_low_friction,a050_mu010_g002,R1,5,hot,0.3614413071173887,22304,7693
9,R1_low_expansion_low_friction,a050_mu010_g002,R1,5,hot,0.3607858802667425,22304,7693
10,R1_low_expansion_low_friction,a050_mu010_g002,R1,5,hot,0.3633760617176698,22304,7693
11,R1_low_expansion_low_friction,a050_mu010_g002,R1,5,hot,0.3633342164411779,22304,7693
12,R1_low_expansion_low_friction,a050_mu010_g002,R1,5,hot,0.3625552610298472,22304,7693
13,R1_low_expansion_low_friction,a050_mu010_g002,R1,5,hot,0.3615939211385548,22304,7693
14,R1_low_expansion_low_friction,a050_mu010_g002,R1,5,hot,0.3643835027420551,22304,7693
15,R1_low_expansion_low_friction,a050_mu010_g002,R1,5,hot,0.363372817995676,22304,7693
16,R1_low_expansion_low_friction,a050_mu010_g002,R1,5,hot,0.35942594925717297,22304,7693
17,R1_low_expansion_low_friction,a050_mu010_g002,R1,5,hot,0.3618546275573584,22304,7693
18,R1_low_expansion_low_friction,a050_mu010_g002,R1,5,hot,0.3635426426376914,22304,7693
19,R1_low_expansion_low_friction,a050_mu010_g002,R1,5,hot,0.36160021943862325,22304,7693
20,R1_low_expansion_low_friction,a050_mu010_g002,R1,5,hot,0.36283439096090664,22304,7693
21,R1_low_expansion_low_friction,a050_mu010_g002,R1,5,hot,0.361822409768516,22304,7693
22,R1_low_expansion_low_friction,a050_mu010_g002,R1,5,hot,0.36357626492156137,22304,7693
23,R1_low_expansion_low_friction,a050_mu010_g002,R1,5,hot,0.3622075038705757,22304,7693
24,R1_low_expansion_low_friction,a050_mu010_g002,R1,5,hot,0.36432624207485853,22304,7693
0,R1_low_expansion_low_friction,a050_mu010_g002,R1,6,cold,0.4058726024009446,22537,6463
1,R1_low_expansion_low_friction,a050_mu010_g002,R1,6,cold,0.40792116625654085,22537,6463
2,R1_low_expansion_low_friction,a050_mu010_g002,R1,6,cold,0.40570178509400473,22537,6463
3,R1_low_expansion_low_friction,a050_mu010_g002,R1,6,cold,0.40899706813167735,22537,6463
4,R1_low_expansion_low_friction,a050_mu010_g002,R1,6,cold,0.406036629525214,22537,6463
5,R1_low_expansion_low_friction,a050_mu010_g002,R1,6,cold,0.4075650997826489,22537,6463
6,R1_low_expansion_low_friction,a050_mu010_g002,R1,6,cold,0.40874640017652775,22537,6463
7,R1_low_expansion_low_friction,a050_mu010_g002,R1,6,cold,0.4094462297399952,22537,6463
8,R1_low_expansion_low_friction,a050_mu010_g002,R1,6,cold,0.40648816423722856,22537,6463
9,R1_low_expansion_low_friction,a050_mu010_g002,R1,6,cold,0.40500716758554883,22537,6463
10,R1_low_expansion_low_friction,a050_mu010_g002,R1,6,cold,0.4083023059455636,22537,6463
11,R1_low_expansion_low_friction,a050_mu010_g002,R1,6,cold,0.4110079925988281,22537,6463
12,R1_low_expansion_low_friction,a050_mu010_g002,R1,6,cold,0.4064026443101415,22537,6463
13,R1_low_expansion_low_friction,a050_mu010_g002,R1,6,cold,0.40710584123349486,22537,6463
14,R1_low_expansion_low_friction,a050_mu010_g002,R1,6,cold,0.4071025204081371,22537,6463
15,R1_low_expansion_low_friction,a050_mu010_g002,R1,6,cold,0.40591237023235005,22537,6463
16,R1_low_expansion_low_friction,a050_mu010_g002,R1,6,cold,0.4063647860978149,22537,6463
17,R1_low_expansion_low_friction,a050_mu010_g002,R1,6,cold,0.40751301146202634,22537,6463
18,R1_low_expansion_low_friction,a050_mu010_g002,R1,6,cold,0.4073131598878124,22537,6463
19,R1_low_expansion_low_friction,a050_mu010_g002,R1,6,cold,0.4071611336836028,22537,6463
20,R1_low_expansion_low_friction,a050_mu010_g002,R1,6,cold,0.4070969767204049,22537,6463
21,R1_low_expansion_low_friction,a050_mu010_g002,R1,6,cold,0.40516136810325687,22537,6463
22,R1_low_expansion_low_friction,a050_mu010_g002,R1,6,cold,0.4080675012971604,22537,6463
23,R1_low_expansion_low_friction,a050_mu010_g002,R1,6,cold,0.40750609370659885,22537,6463
24,R1_low_expansion_low_friction,a050_mu010_g002,R1,6,cold,0.4065136309389504,22537,6463
0,R1_low_expansion_low_friction,a050_mu010_g002,R1,6,hot,0.354234098663991,20857,7494
1,R1_low_expansion_low_friction,a050_mu010_g002,R1,6,hot,0.35361965602332524,20857,7494
2,R1_low_expansion_low_friction,a050_mu010_g002,R1,6,hot,0.35525802023341607,20857,7494
3,R1_low_expansion_low_friction,a050_mu010_g002,R1,6,hot,0.3537286800758681,20857,7494
4,R1_low_expansion_low_friction,a050_mu010_g002,R1,6,hot,0.3563749732735463,20857,7494
5,R1_low_expansion_low_friction,a050_mu010_g002,R1,6,hot,0.35298098355644525,20857,7494
6,R1_low_expansion_low_friction,a050_mu010_g002,R1,6,hot,0.35373104225154206,20857,7494
7,R1_low_expansion_low_friction,a050_mu010_g002,R1,6,hot,0.35537863025491534,20857,7494
8,R1_low_expansion_low_friction,a050_mu010_g002,R1,6,hot,0.35193227474935407,20857,7494
